id,kind,resType,name
bucketName:addons-hack.appgyver.black,Resource,bucketName,addons-hack.appgyver.black
bucketName:addons-inbound.appgyver.black,Resource,bucketName,addons-inbound.appgyver.black
bucketName:addons-kovanen.appgyver.black,Resource,bucketName,addons-kovanen.appgyver.black
bucketName:addons-legacy.appgyver.black,Resource,bucketName,addons-legacy.appgyver.black
bucketName:addons-livepreview.appgyver.black,Resource,bucketName,addons-livepreview.appgyver.black
bucketName:addons-letsencrypt.appgyver.black,Resource,bucketName,addons-letsencrypt.appgyver.black
bucketName:addons-payments.appgyver.black,Resource,bucketName,addons-payments.appgyver.black
bucketName:addons-preview.appgyver.black,Resource,bucketName,addons-preview.appgyver.black
bucketName:addons-platform.appgyver.black,Resource,bucketName,addons-platform.appgyver.black
bucketName:addons-proxy.appgyver.black,Resource,bucketName,addons-proxy.appgyver.black
bucketName:addons-reloaded.appgyver.black,Resource,bucketName,addons-reloaded.appgyver.black
bucketName:addons-ruukkipct.appgyver.black,Resource,bucketName,addons-ruukkipct.appgyver.black
bucketName:addons-restfile.appgyver.black,Resource,bucketName,addons-restfile.appgyver.black
bucketName:addons-secure.appgyver.black,Resource,bucketName,addons-secure.appgyver.black
bucketName:addons-server.appgyver.black,Resource,bucketName,addons-server.appgyver.black
bucketName:addons-share.appgyver.black,Resource,bucketName,addons-share.appgyver.black
bucketName:addons-status.appgyver.black,Resource,bucketName,addons-status.appgyver.black
bucketName:addons-support.appgyver.black,Resource,bucketName,addons-support.appgyver.black
bucketName:addons-transdolan.appgyver.black,Resource,bucketName,addons-transdolan.appgyver.black
bucketName:addons-tracker.appgyver.black,Resource,bucketName,addons-tracker.appgyver.black
bucketName:addons-ui.appgyver.black,Resource,bucketName,addons-ui.appgyver.black
bucketName:addons-updates.appgyver.black,Resource,bucketName,addons-updates.appgyver.black
bucketName:addons-www2.appgyver.black,Resource,bucketName,addons-www2.appgyver.black
bucketName:addons-www.appgyver.black,Resource,bucketName,addons-www.appgyver.black
bucketName:addons-xml.appgyver.black,Resource,bucketName,addons-xml.appgyver.black
bucketName:ag.appgyver.black,Resource,bucketName,ag.appgyver.black
bucketName:ag-addons.appgyver.black,Resource,bucketName,ag-addons.appgyver.black
bucketName:ag-accounts.appgyver.black,Resource,bucketName,ag-accounts.appgyver.black
bucketName:ag-admin.appgyver.black,Resource,bucketName,ag-admin.appgyver.black
bucketName:ag-analytics.appgyver.black,Resource,bucketName,ag-analytics.appgyver.black
bucketName:ag-anka.appgyver.black,Resource,bucketName,ag-anka.appgyver.black
bucketName:ag-api.appgyver.black,Resource,bucketName,ag-api.appgyver.black
bucketName:ag-argus.appgyver.black,Resource,bucketName,ag-argus.appgyver.black
bucketName:ag-automation.appgyver.black,Resource,bucketName,ag-automation.appgyver.black
bucketName:ag-auth.appgyver.black,Resource,bucketName,ag-auth.appgyver.black
bucketName:ag-beta.appgyver.black,Resource,bucketName,ag-beta.appgyver.black
bucketName:ag-black.appgyver.black,Resource,bucketName,ag-black.appgyver.black
bucketName:ag-build.appgyver.black,Resource,bucketName,ag-build.appgyver.black
bucketName:ag-blog.appgyver.black,Resource,bucketName,ag-blog.appgyver.black
bucketName:ag-builder.appgyver.black,Resource,bucketName,ag-builder.appgyver.black
bucketName:ag-cloud.appgyver.black,Resource,bucketName,ag-cloud.appgyver.black
bucketName:ag-components.appgyver.black,Resource,bucketName,ag-components.appgyver.black
bucketName:ag-composer.appgyver.black,Resource,bucketName,ag-composer.appgyver.black
bucketName:ag-composer2.appgyver.black,Resource,bucketName,ag-composer2.appgyver.black
bucketName:ag-daisy.appgyver.black,Resource,bucketName,ag-daisy.appgyver.black
bucketName:ag-datastore.appgyver.black,Resource,bucketName,ag-datastore.appgyver.black
bucketName:ag-debugger.appgyver.black,Resource,bucketName,ag-debugger.appgyver.black
bucketName:ag-docs.appgyver.black,Resource,bucketName,ag-docs.appgyver.black
bucketName:ag-editor.appgyver.black,Resource,bucketName,ag-editor.appgyver.black
bucketName:ag-forums.appgyver.black,Resource,bucketName,ag-forums.appgyver.black
bucketName:ag-frontend.appgyver.black,Resource,bucketName,ag-frontend.appgyver.black
bucketName:ag-governance.appgyver.black,Resource,bucketName,ag-governance.appgyver.black
bucketName:ag-guides.appgyver.black,Resource,bucketName,ag-guides.appgyver.black
bucketName:ag-hack.appgyver.black,Resource,bucketName,ag-hack.appgyver.black
bucketName:ag-inbound.appgyver.black,Resource,bucketName,ag-inbound.appgyver.black
bucketName:ag-kovanen.appgyver.black,Resource,bucketName,ag-kovanen.appgyver.black
bucketName:ag-legacy.appgyver.black,Resource,bucketName,ag-legacy.appgyver.black
bucketName:ag-letsencrypt.appgyver.black,Resource,bucketName,ag-letsencrypt.appgyver.black
bucketName:ag-livepreview.appgyver.black,Resource,bucketName,ag-livepreview.appgyver.black
bucketName:ag-payments.appgyver.black,Resource,bucketName,ag-payments.appgyver.black
bucketName:ag-platform.appgyver.black,Resource,bucketName,ag-platform.appgyver.black
