resource_id,category,resource_type,raw_resource_type,name,arn,service,account_id,region
aws:resource:arn:aws:s3:::accounts-argus.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-argus.apguyver.com,arn:aws:s3:::accounts-argus.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-argus.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-argus.apgyver.com,arn:aws:s3:::accounts-argus.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-argus.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-argus.apparchitect.com,arn:aws:s3:::accounts-argus.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-argus.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-argus.appguyver.com,arn:aws:s3:::accounts-argus.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-argus.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-argus.appgyver.academy,arn:aws:s3:::accounts-argus.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-argus.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-argus.appgyver.black,arn:aws:s3:::accounts-argus.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-auth.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-auth.apguyver.com,arn:aws:s3:::accounts-auth.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-auth.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-auth.apgyver.com,arn:aws:s3:::accounts-auth.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-auth.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-auth.apparchitect.com,arn:aws:s3:::accounts-auth.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-auth.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-auth.appguyver.com,arn:aws:s3:::accounts-auth.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-auth.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-auth.appgyver.academy,arn:aws:s3:::accounts-auth.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-auth.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-auth.appgyver.black,arn:aws:s3:::accounts-auth.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-automation.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-automation.apguyver.com,arn:aws:s3:::accounts-automation.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-automation.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-automation.apgyver.com,arn:aws:s3:::accounts-automation.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-automation.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-automation.apparchitect.com,arn:aws:s3:::accounts-automation.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-automation.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-automation.appguyver.com,arn:aws:s3:::accounts-automation.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-automation.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-automation.appgyver.academy,arn:aws:s3:::accounts-automation.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-automation.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-automation.appgyver.black,arn:aws:s3:::accounts-automation.appgyver.black,s3,811596193553,us-west-2
